movieId,title,genres
2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama
2001,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama
2002,Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama
2003,Gremlins (1984),Comedy|Horror
2004,Gremlins 2: The New Batch (1990),Comedy|Horror
2005,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy
2006,"Mask of Zorro, The (1998)",Action|Comedy|Romance
2007,Polish Wedding (1998),Comedy
2008,"This World, Then the Fireworks (1997)",Crime|Drama|Film-Noir
2009,Soylent Green (1973),Drama|Mystery|Sci-Fi|Thriller
2010,Metropolis (1927),Drama|Sci-Fi
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi
2012,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
2013,"Poseidon Adventure, The (1972)",Action|Adventure|Drama
2014,Freaky Friday (1977),Children|Comedy|Fantasy
2015,"Absent-Minded Professor, The (1961)",Children|Comedy|Fantasy
2016,"Apple Dumpling Gang Rides Again, The (1979)",Children|Comedy|Western
2017,Babes in Toyland (1961),Children|Fantasy|Musical
2018,Bambi (1942),Animation|Children|Drama
2019,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
2020,Dangerous Liaisons (1988),Drama|Romance
2021,Dune (1984),Adventure|Sci-Fi
2022,"Last Temptation of Christ, The (1988)",Drama
2023,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller
2024,"Rapture, The (1991)",Drama|Mystery
2025,Lolita (1997),Drama|Romance
2026,Disturbing Behavior (1998),Horror|Thriller
2027,Jane Austen's Mafia! (1998),Comedy|Crime
2028,Saving Private Ryan (1998),Action|Drama|War
2029,Billy's Hollywood Screen Kiss (1997),Comedy|Romance
2031,"Million Dollar Duck, The (a.k.a. $1,000,000 Duck) (1971)",Children|Comedy
2032,"Barefoot Executive, The (1971)",Children|Comedy
2033,"Black Cauldron, The (1985)",Adventure|Animation|Children|Fantasy
2034,"Black Hole, The (1979)",Children|Sci-Fi
2035,Blackbeard's Ghost (1968),Children|Comedy
2036,Blank Check (1994),Children|Comedy
2037,Candleshoe (1977),Adventure|Children|Comedy
2038,"Cat from Outer Space, The (1978)",Children|Comedy|Sci-Fi
2039,Cheetah (1989),Adventure|Children
2040,"Computer Wore Tennis Shoes, The (1969)",Children|Comedy
2041,Condorman (1981),Action|Adventure|Children|Comedy
2042,D2: The Mighty Ducks (1994),Children|Comedy
2043,Darby O'Gill and the Little People (1959),Adventure|Children|Fantasy
2044,"Devil and Max Devlin, The (1981)",Comedy|Fantasy
2045,"Far Off Place, A (1993)",Adventure|Children|Drama|Romance
2046,Flight of the Navigator (1986),Adventure|Children|Sci-Fi
2047,"Gnome-Mobile, The (1967)",Adventure|Children|Fantasy|Musical
2048,"Great Mouse Detective, The (1986)",Action|Animation|Children|Crime
2049,"Happiest Millionaire, The (1967)",Comedy|Musical
2050,Herbie Goes Bananas (1980),Adventure|Children|Comedy
2051,Herbie Goes to Monte Carlo (1977),Adventure|Children|Comedy
2052,Hocus Pocus (1993),Children|Comedy|Fantasy|Horror
2053,"Honey, I Blew Up the Kid (1992)",Children|Comedy|Sci-Fi
2054,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi
2055,Hot Lead and Cold Feet (1978),Action|Comedy|Western
2056,In Search of the Castaways (1962),Adventure|Children
2057,"Incredible Journey, The (1963)",Adventure|Children
2058,"Negotiator, The (1998)",Action|Crime|Drama|Mystery|Thriller
2059,"Parent Trap, The (1998)",Children|Comedy|Romance
2060,BASEketball (1998),Comedy
2062,"Governess, The (1998)",Drama|Romance
2063,"Seventh Heaven (Septième ciel, Le) (1997)",Drama|Romance
